label,area,eccentricity,solidity,equivalent_diameter,mean_intensity,perimeter
118,11.0,0.9518683762700559,1.0,3.742410318509555,0.8417806,11.207106781186548
119,180.0,0.6569014287122242,0.9183673469387755,15.138795132120961,0.8129981,51.55634918610404
120,21.0,0.7246863639387265,0.9130434782608695,5.170882945826411,0.769241,15.692388155425117
121,33.0,0.9698459516660644,0.9705882352941176,6.4820448144285745,0.8188363,23.621320343559642
122,123.0,0.4333580321266269,0.9609375,12.514330345744634,0.8212031,41.071067811865476
123,97.0,0.7838693525476826,0.8981481481481481,11.11324596323283,0.7214388,41.14213562373095
124,89.0,0.3506698709542966,0.8811881188118812,10.645107772184812,0.820162,36.3492424049175
125,263.0,0.4359784600051368,0.8622950819672132,18.29923496393627,0.7527104,68.38477631085024
126,156.0,0.7705362386593744,0.9176470588235294,14.093451279891855,0.8130406,48.62741699796952
127,201.0,0.7491847238426793,0.8893805309734514,15.99753570059363,0.8486275,58.384776310850235
128,51.0,0.7345582439952119,0.9807692307692307,8.058239062071396,0.75450075,24.828427124746188
129,23.0,0.9823815697849209,0.8214285714285714,5.4115163798060095,0.8167559,20.414213562373096
130,1213.0,0.7032769205425183,0.8682891911238368,39.299358363257696,0.82932454,158.98885271170678
131,71.0,0.8094413616774605,0.922077922077922,9.507891862878783,0.67371285,32.14213562373095
132,972.0,0.930895771705046,0.9274809160305344,35.17938085701024,0.8531687,142.25483399593904
133,585.0,0.3176781271845169,0.8796992481203008,27.29185104880338,0.78414744,105.7401153701776
134,15.0,0.955076820277326,0.8823529411764706,4.370193722368317,0.67750984,12.414213562373096
135,566.0,0.855082629410045,0.930921052631579,26.844991754889815,0.84623003,103.97665940288701
136,236.0,0.7438240167904324,0.8644688644688645,17.334489682638438,0.76456696,65.79898987322333
137,18.0,0.6276662828968657,0.8181818181818182,4.787307364817192,0.67247814,14.242640687119284
138,21.0,0.712241974147557,1.0,5.170882945826411,0.67705876,14.242640687119284
139,196.0,0.7024057371769801,0.9849246231155779,15.797308339337176,0.8520417,52.242640687119284
140,22.0,0.7644398449211225,0.8148148148148148,5.292567428401227,0.672604,15.86396103067893
141,644.0,0.897437364754334,0.5309150865622424,28.635053113438516,0.8789976,162.70458146424488
142,120.0,0.9971349372923485,0.8695652173913043,12.360774464742066,0.8572918,83.07106781186548
143,31.0,0.9679398254117947,0.8857142857142857,6.282549314314218,0.7944619,22.44974746830583
144,121.0,0.997257457988217,0.8705035971223022,12.412170838050638,0.848497,84.48528137423857
145,25.0,0.6589752126678906,0.8928571428571429,5.641895835477563,0.69594455,16.485281374238568
146,15.0,0.955076820277326,0.8823529411764706,4.370193722368317,0.91992134,12.414213562373096
147,85.0,0.836615193051926,1.0,10.403141895720198,0.88995147,33.65685424949238
148,161.0,0.9951919555064803,0.8994413407821229,14.317526556719258,0.85189116,87.31370849898475
149,1004.0,0.8431526983697282,0.8530161427357689,35.75377606511099,0.82544017,164.76955262170048
150,123.0,0.7768687376288852,0.9389312977099237,12.514330345744634,0.72532845,41.89949493661167
151,95.0,0.7981218013991579,0.8482142857142857,10.998079684646791,0.68248487,41.21320343559643
152,287.0,0.7396533909280554,0.8541666666666666,19.115955360352558,0.8451088,77.79898987322333
153,435.0,0.8179876767889209,0.8682634730538922,23.534213434057992,0.758285,105.97665940288702
154,121.0,0.997257457988217,0.8705035971223022,12.412170838050638,0.82410467,84.48528137423857
155,28.0,0.45694940884484236,0.875,5.970821321441846,0.72135675,18.27817459305202
156,29.0,0.739905776519888,0.8285714285714286,6.076507779746499,0.7932664,19.863961030678926
157,588.0,0.7432119544255548,0.9130434782608695,27.361740666563517,0.82763153,98.81118318204308
158,87.0,0.7791729002490043,0.8130841121495327,10.524820207108489,0.6987665,39.14213562373095
159,107.0,0.8642828398048888,0.8916666666666667,11.67204486311899,0.83935034,44.14213562373095
160,120.0,0.9971349372923485,0.8695652173913043,12.360774464742066,0.82801914,83.07106781186548
161,227.0,0.40439141075866986,0.8697318007662835,17.000746355818674,0.7647014,62.17766952966369
162,29.0,0.5894795034977588,0.9354838709677419,6.076507779746499,0.71120936,17.485281374238568
163,114.0,0.7481182578031685,0.912,12.047792665040703,0.756246,39.72792206135786
164,119.0,0.7328137332981309,0.937007874015748,12.309163489997376,0.7732386,43.59188309203678
165,39.0,0.6159203754645357,0.975,7.046725639945928,0.7171921,20.82842712474619
166,39.0,0.9743100281162406,0.8478260869565217,7.046725639945928,0.87968427,27.242640687119284
167,78.0,0.6411695262014167,0.896551724137931,9.965574970333758,0.76525223,33.10660171779821
168,159.0,0.6098374786797673,0.8368421052631579,14.228319915326999,0.6917792,54.834523779156065
169,390.0,0.7648612914323331,0.8647450110864745,22.283703068536735,0.7630315,84.18376618407356
170,43.0,0.8892347671143856,0.8431372549019608,7.399277020331919,0.7815174,27.071067811865476
171,3786.0,0.825934871499807,0.7761377613776138,69.42971205735572,0.85467654,337.5929291125633
172,456.0,0.6170644461489958,0.9047619047619048,24.095585330081406,0.76695526,85.73401871576773
173,33.0,0.8005494203685337,1.0,6.4820448144285745,0.83917034,19.071067811865476
174,174.0,0.5486457853858117,0.9015544041450777,14.884343478431232,0.80949086,52.17766952966369
175,639.0,0.7270391700006456,0.8838174273858921,28.523675588636344,0.80569893,108.76955262170047
176,100.0,0.9482030312932169,0.819672131147541,11.283791670955125,0.7766262,48.10660171779821
177,13.0,0.7743457464718222,0.9285714285714286,4.068428945128219,0.65266865,10.207106781186548
178,86.0,0.8336522484643928,0.7962962962962963,10.464157913908982,0.7935735,40.14213562373095
